dia,Doria,França,Branco/Nulo,Não sabe,Peso,STD,Identificação,Metodo
12,45,41,8,6,1,1,Paraná,Presencial
16,46,42,10,2,1,1.5,Ibope,Presencial
18,44,40,9,7,1,1,Datafolha,Presencial
20,47,40,5,8,1,1,Paraná,Presencial
6,40,39,15,0,1,1,Datafolha,Presencial
5,40,36,18,6,1,1,Ibope,Presencial
2,37,32,21,0,1,1,Ibope,Presencial
4,41,41,14,4,1,1,Datafolha,Presencial
15,48,44,4,4,1,1,RealTime,Presencial
22,46,41,11,3,1,1.5,Ibope,Presencial
23,48,40,8,5,1,1,Paraná,Presencial
25,43,40,9,8,1,1,Datafolha,Presencial
25,48,48,2,2,1,1,RealTime,Presencial
27,42,43,14,0,1,1,Datafolha,Presencial
27,42,43,14,0,1,1.5,Ibope,Presencial
